author_id,tweet,annotator_0,annotator_1,annotator_2,label
216712704,So Sad ! China Evicts Africans from their Homes Claiming they are Importing Coronavirus into China @MaziNnamdiKanu #China where did Corona virus originated? #China show the world proof of your claim. I say #Notoracist #Free the blacks https://t.co/1XNolmzvdb,0,0,0,0
1145106102360649728,"This bullshit has gone on long enough ! 
That Chinese bitch lives in luxury !
Fuck the extradition, prisoner swap now &amp; close the door on Chinese 5g we don't want it ! Fuck Off #China !!!
https://t.co/Okg2UCqnP2",1,1,1,1
213827781,"Chinese should have invented a sexual intercourse pandemic diseases, that would have wiped out half of South Africans.

 #Lockdown #Chinese #China #ChineseVirusCorona #epidemic",1,1,1,1
1201595808564600832,"Stop torturing and killing and eating #dogs and #cats #china and #skorea and now #nkorea.Stop teaching children that's its OK to eat them.They are not food,they are meant to be companion animals .#banchineseproducts  and #bankoreanproducts.Why pay good money to #animalmurderes. https://t.co/jZ8Jp0ZCqo",1,1,1,1
2225244115,"#China is showing too much aggression. In Galwan area our three jawan martyred. Shame on #China. In 40 years this happen 1st time. Wake up #Indians , #BoycottChineseProducts . We will not make #China rich to fight with us. Jai Hind",0,0,1,0
1219744961299611648,"#China
Man we should definitly forbid #chinees to travel out of there stinck habitat,today its #coronarvirus
#coronavirus tomorrow its some other creepy disease

Lets boycot everything from these #UyghurGenocide country
Its dangerous to touch @Huawei

https://t.co/IH2EZAJKiO",0,1,1,1
81566525,"Does #China really deserve to be called #Dragon?
What should #Chinese be called in #India to sound better than #dragons?
🇮🇳
#ChinaMustPay #ChinaIndiaFaceoff #IndiaChinaFaceOff #IndiaChinaBorder #IndianArmy #ChinaGetOut #BoycottChineseProduct #BoycottChineseProducts #BoycottChina",1,1,0,1
1244826814301835264,"Some of traditional Chinese food.
I believe #China  is pestilent and danger to humans, animals and aliens 
#fuckChina
#chineseVirus 
#coronaVirus https://t.co/Df3wq6FeRx",1,1,1,1
832249908300230656,"#ChinaVirus #ChineseVirus #ChinaLiedAndPeopleDied #Chinamustfall #Covid_19

#China is to blame—

their barbaric, medieval, live animal markets, where cats are skinned alive &amp; bat viruses can jump to humans via pangolins.

The filthy Chinese have murdered people across the globe. https://t.co/zX1ELfjGDo",1,1,1,1
3022862503,"Leftists funding scumbag bases - paying people to fly around the world to make it appear like groundswell uprisings. Islamic shell companies behind all hate. Infowars 5 Sept 2020 (12'49"") #Islam #China #IslamicShellCompanies #BLMareScumbags #BanksMustDie https://t.co/0zmU6AIbaY",0,0,0,0
853944272923627520,"THE SPY WHO SHAGGED ERIC SWALWELL 
(busted with Chinese Spy Christine Fang) 
https://t.co/w2NCDZIMkH

#EricSwalwell #FangFang #Swalwell #China #NancyPelosi #LaptopFromHell #EricSwalwellIsATraitor #EricSwallwell #ChristineFang #fangfangbangbang #FangBangGate #FangBanger #MAGA #KAG https://t.co/6gMFWwUjcc",0,0,0,0
756861767616073728,Chinese idiots stop spreading Corona in Japan. Can believe all the idiots coughing and sneezing and never covering their mouths. Savages and terrorists #getthefuckout #stopspreadingcorona #stopchina #ChinaVirus #WuhanCoronavirus #China #WuhanVirus #CoronavirusOutbreak #,1,1,1,1
330510855,"#China stay focused, they Killed this, ""I Have a Dream"" and now they are threatened by this ""China is a sleeping lion. Let her sleep, for when she wakes she will shake the world."" they want it death too. #Truths",0,1,0,0
3399802643,"Daily reminder: #china is the cancer on the body of our planet.

#FuckChina",1,1,1,1
283160842,Now it becomes clear why #China always supported country with Terrorism bcoz dey want to destroy world also #ChineseBioterrorism #ChineseVirus19 #BoycottChina #ChinaLiedPeopleDie,1,1,0,1
809950081516470272,"If I never see those 2 pro 
#China doctors
#Napoleons fart
#DrFauci and scarf hag 
#DrBirx . I would die happy",0,0,0,0
3401275349,"Fuck #China
Get out of Iran
Fuck China

#ChinaLeaveIran https://t.co/1TC91yvr5Z",1,1,1,1
1108219923287793664,"This 
This sicko, fucked in the skull Chinese woman is proud of eating animals in wild manner. #China #coronavirus 

 https://t.co/H3eSzfcWc0",1,1,1,1
937755199,#china can u not see how bad this country is. I say any Chinese person with ties to the comm China should be thrown out after being checked and not allowed back in our country. Stop letting them in if they want to steal send them elsewhere. Stand up for us help rep,1,1,1,1
3880742838,"Next time cook and eat, you uncultured cunt #China",1,1,1,1
4329209422,Let's Ban china in the whole world.#tiktokexposed #tiktokdown #tiktokbaninindia #BanChineseProducts #BanTikToklnlndia #BanTiktok #ChinaIndiaFaceoff #China #ChinaWingsClipped #chinaindiaborder #indiansAgainstTikTok #IndiaStandWithArmyAndModi #IndianArmy https://t.co/Shj5UNmToQ,1,1,0,1
1268013290975711232,"#China is virus to the world. #CCP does harm to #Muslim . Mosque in GanSu were destroyed. The world should stand together as one to fight back this totalitarian state. 
#AntiChina ##CCP_is_terrorist #CCPLiedPeopleDied 
#چین_برو_گمشو
#china_Get_out_of_Iran 
#StandWithHongKong https://t.co/lxk8EBpCEp",1,1,1,1
1215287626758021120,We will cost me 200 Polish immigrants. #China #China,0,0,0,0
3399802643,"Daily reminder: #china is the cancer on the body of our planet.

#FuckChina",1,1,1,1
3372017243,https://t.co/g8D763QwVv i hope the FG is looking in this direction cause i see no reason why you should bring in Chinese into the country.  #China must go#,1,1,1,1
2949485115,"#China #ChinaVirus Pangolins are the most-commonly illegally trafficked mammal, used both as food and in traditional medicine.
#ChineseVirus #clapforNHS #StayHomeSaveLives China is actually a joke I don’t care what u say they have no common sense. https://t.co/oLu5ocjAKO",1,1,0,1
3212418857,"Evidence shows we'll be hit by #ChineseFlu every 60 months. Unless we #banwetmarkets a #vaccine is pointless. #China must give up such #meat, we must #boycottChinesefood. The only way to avoid the end of humanity is #meatfree &amp; go #pescetarian #eatmorefish
https://t.co/7tiK0g6O8Z https://t.co/HWt21Xea9j",1,0,0,0
557454421,"China has started it.....!!! But india will finish it.....
Don't you dare #china to think that #india  is same as it was in 67 .....you mess with us...we will make you regret it #ChinaIndiaFaceoff #chinaindiaborder #BoycottChineseProduct #LadakhBorder #Ladakh https://t.co/6c9hNYIKnp",1,1,0,1
81024610,"SO tired of #China 's shit! Forget about canceling youTubers.. it's time to #CancelChina. Boycott products &amp; services from china. It'll be hard, but if you want the bullshit to stop.. WE NEED TO HIT CHINA IN THE WALLET. FUCK CHINA'S LIES. NO MORE MONEY TO CHINA! #ChinaIsCancled🙅‍♀️ https://t.co/2gy2S4bRc0",1,1,1,1
1236023925378879488,Instead of doing a fourth stimulus plan everybody just needs to go back to work! What the hell is wrong with you people you’re listening to a bunch of Harvard #Libtards paid off by the fuckin Chinese #China #AmericaFirst #WuhanVirus #ChinaLiedPeopleDied #WuhanHagin #Bama,1,1,1,1
305547217,"What can #China eat, if given by #Bharat,
#China gets #foodtoeat
#India get payment of our #farmers #weed
?
#chinahelpsindia
#inturngetbenefit
#fuckthewesternwars",0,0,0,0
2222446123,"Hi people in rural China. Can you now stop eating everything that walks, crawls, flies and slithers? Also stop keeping those animals in horrific conditions so there are no more pandemics? #China #COVID19",1,1,1,1
1239973623051550720,"Fuck you #China! We've had enough of you!! If you wanna keep eating shitty things get the fuck out of this planet!

China bubonic plague: Inner Mongolia takes precautions after case https://t.co/Fh4uzF9H1q",1,1,1,1
582125051,"Nothing good ever comes out of #China 

For f**k sake stop eating raw snakes rats bats &amp; cockroaches. It looks chinese will eventually end this world by a deadly virus which will origin from insects &amp; animals but will not have any cure.",1,1,1,1
167924087,#EXILE #PROTESTORS #TakeCitizenship They hateUSATrying 2cause a revolution which is #treason Instead ofShooting themTake them2 #China #Cuba #NKorea Let them Protest inChinaThey will have #Communist #Chinese lives&amp;be happy 😃 there&amp;we don’tHave2listen2themTake #CNN &amp; #MSM &amp; #Soros,1,0,0,0
2485550934,"Yet another conspiracy move by #China

God damn. 
Why the hell china is on earth?

Throw them somewhere these rotten pigs.

#BoycottChineseProduct
#BanChineseProducts
#XiJinpingIsWinnieThePooh

https://t.co/iJQjm55Yey",1,1,1,1
1136943936256110592,"#China is butt hurt that #Australia wants to know what dirty shit they eat to cause all these viruses, further more they are butt hurt about the 5G that #Australia designed it's own.

FYI dickheads #Australia invented WiFi take a fucking sit.",1,1,1,1
1178838552911597568,"China, You back to your cage and lock youfuckingself up.

#China
#Chinazi
#ChinaMustPay 
#nnevvy 
#NnevvyLiveinhisroom 
#TaiwanIsNotChina 
#HKIsNotChina 
#chinaGoBackToYourCageAndLockyoufuckingselful https://t.co/Qc4xCy8mtX",1,1,1,1
1272851670674755584,Canadian #Asian slut Cuckold her husband.p2 https://t.co/0dQp3izkkt #bbc #bigcock #china,0,0,1,0
1236092310938509312,"You are clearly destroying USA and you assholes killing lots of innocent people there!!! After this outbreak, YOU SHOULDN'T BE WELCOMED IN UNITED STATES OF AMERICA ANYMORE!!! LIARS DIRTY FILTHY DEMONS!!! #ChinaLiedAndPeopleDied #ChinaVirus #China #COVID2019 #coronavirus",1,1,1,1
51339989,"#China #china_Get_out_of_Iran #chinafreeworld @PDChina @chinaorgcn @XHNews @ChinaDaily 
When will Leadership of China wake up to the reality?When will they learn lessons from History?When will they Stop Being inhuman? STOP Putting Entire Population at Risk to SATISFY THEIR GREED.",0,0,1,0
1164173348638621696,People is allowed to eat dogs nowadays in China.. feeling hurt when watching it😭😭 #BoycottChina #china #ChineseBioterrorism #ChinaIsAsshoe #Chinese #brutality #dog #survivingright #AnimalRights #animal #animallife #life #pet #puppy #chinazi #crazy #fuck #fuckyou #kill #killer https://t.co/pYkeVA7HMe,1,1,1,1
167924087,#Australia don’t back down Do not let #China dictate to you! I’m sick of #China #Communist nasty ugly #RedParty You all a bunch ofThugs Everyone will investigate you till you investigated2death&amp;we can #boycottChina forever and Never deal with Uagain Go back2before Nixon came,0,1,1,1
1039266711285977088,"Get the fuck out of here.
No one wants you and your system in their own country.

#ChinaLeaveIran 
#Iran #China
#ترکمانچای_چینی",1,1,1,1
949155582,"#China,#EEUU,#StupidGringoRhetorics STUPID RETHORICS ofGRINGOS AGAINST CHINA:nonEXISTENT RIGHTSto INTERVENEinCHINA'sOWN AFFAIRSandTERRITORIES;CLAIM INTELLECTUAL PROPERTYofCHINA; SAILINGwithWARSHIPS intheCHINAsea,ETC. ITisTIMEforCHINAtoSHOW MILITARY  MUSCLESonUSborders¡ENOUGHofUS!",0,0,0,0
56279691,"Celebrating @China on the #moon? #Stop ignoring #atrocity. There’s a reason they’re not @ISS. To hell with #China ‘til she stops testing Asian borders, #torturing #Uighurs, #Taiwan @dalailama @HongKongPLG @falun_gong_for_china &amp; #harvestingorgans , keeping #wetmarkets. 
#@DJSnM",1,1,1,1
924495055,"Dear idiots who think #Trump is #Hitler.. 
This is CHINA. These are the uyghurs. After having their heads shaved they're being loaded into trains from concentration camps to have their organs harvested. #WakeUpAmerica This is what communism leads to. ALWAYS. 
#Uyghurs #China https://t.co/qWZ1kbQA69",0,0,0,0
3399802643,"Daily reminder: #china is the cancer on the body of our planet.

#FuckChina",1,1,1,1
1138015828648108032,"#LekkiMassacre
#Lekkitollgate 
#CNN The leaders in Nigeria are killing her citizens. And they're leaving the country
#uk 
#USA 
#France 
#America 
#China 
Stop letting them escape into your country.",0,0,0,0
24905407,"Mr. @AmbChangHua please get the fuck out of Iran. Your cooperation with the #Islamic Republic of Thugs and Thieves will make you a part of the gangsters mafia that has taken #Iranians hostage. 
#China will never have a place in the Iran of post Islamic regime!",1,1,0,1
1064075619737071616,"please don’t send them to china. #indonesia government.                 if you send these muslim #uyghur  to china ,they will lose their life. don’t you know #china genocide #uyghur muslim. https://t.co/KRz53DgEOF",0,0,1,0
